字段分类,字段名称,说明
基本信息,病例编号,唯一编号
基本信息,姓名缩写/匿名编码,去标识化处理
基本信息,性别,男/女
基本信息,年龄,首次治疗年龄
基本信息,就诊年份,2020-2026
基本信息,随访时长(月),末次随访时间
肿瘤信息,病理类型,PRL/GH/ACTH/NFPA/侵袭性等
肿瘤信息,功能性分类,功能性/无功能性
肿瘤信息,肿瘤最大径(mm),MRI测量
肿瘤信息,海绵窦侵犯,是/否
肿瘤信息,Knosp分级,0-4级
肿瘤信息,鞍上扩展,是/否
影像信息,术前MRI日期,影像检查日期
影像信息,术后残留,是/否
影像信息,复发,是/否
内分泌指标,PRL,数值
内分泌指标,GH,数值
内分泌指标,IGF-1,数值
内分泌指标,ACTH,数值
内分泌指标,Cortisol,数值
内分泌指标,TSH,数值
治疗信息,是否手术,是/否
治疗信息,手术方式,经鼻蝶/其他
治疗信息,是否Gamma Knife,是/否
治疗信息,Gamma Knife时间,治疗日期
治疗信息,靶区体积,放疗参数
治疗信息,边缘剂量(Gy),放疗参数
治疗信息,最大剂量(Gy),放疗参数
治疗信息,视路受量,放疗安全参数
治疗信息,是否药物治疗,是/否
治疗信息,药物种类,卡麦角林/SSA/培维索孟/其他
病理分子,Ki-67,百分比
病理分子,p53,阳性/阴性或表达水平
病理分子,MGMT,表达情况
病理分子,SSTR2,表达情况
病理分子,SSTR5,表达情况
病理分子,D2 receptor,表达情况
病理分子,USP8,突变/野生型/未测
病理分子,其他分子标志物,可补充
结局指标,肿瘤缩小,是/否
结局指标,激素缓解,是/否
结局指标,局部控制,是/否
结局指标,无进展生存期PFS,月
结局指标,再手术,是/否
结局指标,并发症,尿崩/视损/垂体功能减退等
结局指标,末次状态,稳定/进展/死亡/失访
备注,备注,补充说明
